scenario,pv_kwp,battery_kwh,discount_rate,annual_savings,breakeven_eur_per_kwh
1-hour-battery,0.0,20.0,0.01,341.1155973689297,186.84902529654306
1-hour-battery,0.0,20.0,0.02,341.1155973689297,172.40295991563784
1-hour-battery,0.0,20.0,0.03,341.1155973689297,159.40654109302335
1-hour-battery,0.0,20.0,0.04,341.1155973689297,147.68639972762543
1-hour-battery,0.0,25.0,0.0,368.3098971362381,176.5751738258114
1-hour-battery,0.0,25.0,0.01,368.3098971362381,162.67149744502444
1-hour-battery,0.0,25.0,0.02,368.3098971362381,150.19331375479555
1-hour-battery,0.0,25.0,0.03,368.3098971362381,138.9673018887487
1-hour-battery,0.0,25.0,0.04,368.3098971362381,128.8437095487754
1-hour-battery,0.0,30.0,0.0,386.74761284513966,155.17962579308795
1-hour-battery,0.0,30.0,0.01,386.74761284513966,143.01320993004532
1-hour-battery,0.0,30.0,0.02,386.74761284513966,132.09417184019534
1-hour-battery,0.0,30.0,0.03,386.74761284513966,122.27084705147159
1-hour-battery,0.0,30.0,0.04,386.74761284513966,113.41219477398982
1-hour-battery,3.0,2.5,0.0,174.5302155042399,752.5518170952894
1-hour-battery,3.0,2.5,0.01,174.5302155042399,686.6667661121943
1-hour-battery,3.0,2.5,0.02,174.5302155042399,627.5366665549847
1-hour-battery,3.0,2.5,0.03,174.5302155042399,574.3402065774355
1-hour-battery,3.0,2.5,0.04,174.5302155042399,526.3677581987529
1-hour-battery,3.0,5.0,0.0,295.0047547126866,691.2335774841016
1-hour-battery,3.0,5.0,0.01,295.0047547126866,635.5515190842233
1-hour-battery,3.0,5.0,0.02,295.0047547126866,585.5783368887667
1-hour-battery,3.0,5.0,0.03,295.0047547126866,540.6199078227152
1-hour-battery,3.0,5.0,0.04,295.0047547126866,500.0764972561463
1-hour-battery,3.0,7.5,0.0,375.9951828642287,601.978387048005
1-hour-battery,3.0,7.5,0.01,375.9951828642287,554.6657355378981
1-hour-battery,3.0,7.5,0.02,375.9951828642287,512.2038757933257
1-hour-battery,3.0,7.5,0.03,375.9951828642287,474.0030163429033
1-hour-battery,3.0,7.5,0.04,375.9951828642287,439.5535669099876
1-hour-battery,3.0,10.0,0.0,429.7834054224624,521.7933067385427
1-hour-battery,3.0,10.0,0.01,429.7834054224624,481.23256272046837
1-hour-battery,3.0,10.0,0.02,429.7834054224624,444.8303622802108
1-hour-battery,3.0,10.0,0.03,429.7834054224624,412.08108207747216
1-hour-battery,3.0,10.0,0.04,429.7834054224624,382.54785459150906
1-hour-battery,3.0,12.5,0.0,466.34165925100103,455.6644738072818
1-hour-battery,3.0,12.5,0.01,466.34165925100103,420.45573484305714
1-hour-battery,3.0,12.5,0.02,466.34165925100103,388.8568181058965
1-hour-battery,3.0,12.5,0.03,466.34165925100103,360.4288174407541
1-hour-battery,3.0,12.5,0.04,466.34165925100103,334.7925101565241
1-hour-battery,3.0,15.0,0.0,492.936619014543,402.8962088263754
1-hour-battery,3.0,15.0,0.01,492.936619014543,371.88232948044373
1-hour-battery,3.0,15.0,0.02,492.936619014543,344.0481888671085
1-hour-battery,3.0,15.0,0.03,492.936619014543,319.0071732382717
1-hour-battery,3.0,15.0,0.04,492.936619014543,296.4252414685423
1-hour-battery,3.0,20.0,0.0,533.7487557318611,328.8460404321989
1-hour-battery,3.0,20.0,0.01,533.7487557318611,303.65981130135896
1-hour-battery,3.0,20.0,0.02,533.7487557318611,281.05583340720244
1-hour-battery,3.0,20.0,0.03,533.7487557318611,260.72013949861184
1-hour-battery,3.0,20.0,0.04,533.7487557318611,242.38145631017647
1-hour-battery,3.0,25.0,0.0,560.7902183059861,277.2157799988275
1-hour-battery,3.0,25.0,0.01,560.7902183059861,256.04598311456635
1-hour-battery,3.0,25.0,0.02,560.7902183059861,237.04664747326206
1-hour-battery,3.0,25.0,0.03,560.7902183059861,219.95387398545827
1-hour-battery,3.0,25.0,0.04,560.7902183059861,204.53964916414046
1-hour-battery,3.0,30.0,0.0,581.7268163835834,240.1356060373209
1-hour-battery,3.0,30.0,0.01,581.7268163835834,221.83547920592275
1-hour-battery,3.0,30.0,0.02,581.7268163835834,205.41159692452675
1-hour-battery,3.0,30.0,0.03,581.7268163835834,190.63583292276059
