scenario,pv_kwp,battery_kwh,capex_per_kwh,annual_savings,cycles_per_year,capex,npv,irr,payback_years,lifetime_years
base,0.0,30.0,350.0,379.1966622784407,107.733639717798,10900.0,-5943.313815333977,-0.08869467364770331,Inf,15.0
base,0.0,30.0,400.0,379.1966622784407,107.733639717798,12400.0,-7443.313815333979,-0.10104448247726217,Inf,15.0
base,3.0,5.0,100.0,293.34272361724277,286.4435771648341,900.0,2934.4425733848516,0.3013035468654789,3.135661588360784,15.0
base,3.0,5.0,150.0,293.34272361724277,286.4435771648341,1150.0,2684.442573384852,0.2262410668157236,4.041997380505286,15.0
base,3.0,5.0,200.0,293.34272361724277,286.4435771648341,1400.0,2434.4425733848516,0.17591631520176854,4.9659727320709965,15.0
base,3.0,5.0,250.0,293.34272361724277,286.4435771648341,1650.0,2184.4425733848516,0.13919115476260224,5.9081102894252115,15.0
base,3.0,5.0,300.0,293.34272361724277,286.4435771648341,1900.0,1934.4425733848516,0.11082149672055036,6.868308449815095,15.0
base,3.0,5.0,350.0,293.34272361724277,286.4435771648341,2150.0,1684.442573384852,0.08800126619771498,7.847328480021216,15.0
base,3.0,5.0,400.0,293.34272361724277,286.4435771648341,2400.0,1434.442573384852,0.0690843872535151,8.845955196820583,15.0
base,3.0,7.5,100.0,372.0242946574226,258.09293210849563,1150.0,3712.9322595000326,0.2987645130257124,3.160218073421183,15.0
base,3.0,7.5,150.0,372.0242946574226,258.09293210849563,1525.0,3337.932259500032,0.21414061003484214,4.235917352664991,15.0
base,3.0,7.5,200.0,372.0242946574226,258.09293210849563,1900.0,2962.932259500032,0.1602436487026762,5.335464325075177,15.0
base,3.0,7.5,250.0,372.0242946574226,258.09293210849563,2275.0,2587.932259500032,0.12206241343118102,6.4598008376534315,15.0
base,3.0,7.5,300.0,372.0242946574226,258.09293210849563,2650.0,2212.9322595000326,0.09311306204045983,7.60989724773589,15.0
base,3.0,7.5,350.0,372.0242946574226,258.09293210849563,3025.0,1837.9322595000324,0.07011445810497202,8.786753194407448,15.0
base,3.0,7.5,400.0,372.0242946574226,258.09293210849563,3400.0,1462.9322595000324,0.05121452320265342,9.991398389528017,15.0
base,3.0,15.0,100.0,483.09183977311596,186.93234941287122,1900.0,4414.756658828423,0.22535132086749854,4.055734332738437,15.0
base,3.0,15.0,150.0,483.09183977311596,186.93234941287122,2650.0,3664.756658828422,0.1445241868686548,5.753981154285496,15.0
base,3.0,15.0,200.0,483.09183977311596,186.93234941287122,3400.0,2914.756658828422,0.09529606304628027,7.511764581149367,15.0
base,3.0,15.0,250.0,483.09183977311596,186.93234941287122,4150.0,2164.7566588284226,0.061074183673704235,9.333298856701871,15.0
base,3.0,15.0,300.0,483.09183977311596,186.93234941287122,4900.0,1414.756658828422,0.0353421263459074,11.224253038833853,15.0
base,3.0,15.0,350.0,483.09183977311596,186.93234941287122,5650.0,664.7566588284219,0.0149702810442775,13.190655302206217,15.0
base,3.0,15.0,400.0,483.09183977311596,186.93234941287122,6400.0,-85.24334117157798,-0.0017535876631681034,Inf,15.0
base,3.0,25.0,100.0,546.7665267453665,135.66732374346893,2900.0,4247.083186524845,0.15183058523625612,5.553089408735989,15.0
base,3.0,25.0,150.0,546.7665267453665,135.66732374346893,4150.0,2997.083186524845,0.08185541674326995,8.150721240017388,15.0
base,3.0,25.0,200.0,546.7665267453665,135.66732374346893,5400.0,1747.0831865248454,0.03931915278224545,10.89329251499848,15.0
base,3.0,25.0,250.0,546.7665267453665,135.66732374346893,6650.0,497.0831865248464,0.009613285802445772,13.797807579319642,15.0
base,3.0,25.0,300.0,546.7665267453665,135.66732374346893,7900.0,-752.9168134751546,-0.012850694310546147,Inf,15.0
base,3.0,25.0,350.0,546.7665267453665,135.66732374346893,9150.0,-2002.9168134751546,-0.030733364066098036,Inf,15.0
base,3.0,25.0,400.0,546.7665267453665,135.66732374346893,10400.0,-3252.9168134751544,-0.04548736949434363,Inf,15.0
