scenario,pv_kwp,battery_kwh,capex_per_kwh,discount_rate,annual_savings,cycles_per_year,capex,npv,irr,payback_years,lifetime_years
efficient,3.0,5.0,300.0,0.02,310.9018157050647,308.8442199179533,1900.0,1607.2233604202295,0.12219077798242772,6.455355450383327,15.0
efficient,3.0,5.0,300.0,0.03,310.9018157050647,308.8442199179533,1900.0,1370.317734246576,0.12219077798242772,6.455355450383327,15.0
efficient,3.0,5.0,300.0,0.04,310.9018157050647,308.8442199179533,1900.0,1156.6767715390672,0.12219077798242772,6.455355450383327,15.0
efficient,3.0,5.0,350.0,0.0,310.9018157050647,308.8442199179533,2150.0,1913.967033447415,0.09851465178148366,7.370503051031795,15.0
efficient,3.0,5.0,350.0,0.01,310.9018157050647,308.8442199179533,2150.0,1620.553914130442,0.09851465178148366,7.370503051031795,15.0
efficient,3.0,5.0,350.0,0.02,310.9018157050647,308.8442199179533,2150.0,1357.2233604202295,0.09851465178148366,7.370503051031795,15.0
efficient,3.0,5.0,350.0,0.03,310.9018157050647,308.8442199179533,2150.0,1120.317734246576,0.09851465178148366,7.370503051031795,15.0
efficient,3.0,5.0,350.0,0.04,310.9018157050647,308.8442199179533,2150.0,906.6767715390671,0.09851465178148366,7.370503051031795,15.0
efficient,3.0,5.0,400.0,0.0,310.9018157050647,308.8442199179533,2400.0,1663.967033447415,0.0789292135242203,8.302822292418774,15.0
efficient,3.0,5.0,400.0,0.01,310.9018157050647,308.8442199179533,2400.0,1370.553914130442,0.0789292135242203,8.302822292418774,15.0
efficient,3.0,5.0,400.0,0.02,310.9018157050647,308.8442199179533,2400.0,1107.2233604202297,0.0789292135242203,8.302822292418774,15.0
efficient,3.0,5.0,400.0,0.03,310.9018157050647,308.8442199179533,2400.0,870.3177342465762,0.0789292135242203,8.302822292418774,15.0
efficient,3.0,5.0,400.0,0.04,310.9018157050647,308.8442199179533,2400.0,656.676771539067,0.0789292135242203,8.302822292418774,15.0
efficient,3.0,7.5,100.0,0.0,394.38743827176495,276.46247067852056,1150.0,4005.2530946383936,0.31896337793371465,2.974504762119267,15.0
efficient,3.0,7.5,100.0,0.01,394.38743827176495,276.46247067852056,1150.0,3633.050545031786,0.31896337793371465,2.974504762119267,15.0
efficient,3.0,7.5,100.0,0.02,394.38743827176495,276.46247067852056,1150.0,3299.008550902756,0.31896337793371465,2.974504762119267,15.0
efficient,3.0,7.5,100.0,0.03,394.38743827176495,276.46247067852056,1150.0,2998.487298535963,0.31896337793371465,2.974504762119267,15.0
efficient,3.0,7.5,100.0,0.04,394.38743827176495,276.46247067852056,1150.0,2727.4779067090003,0.31896337793371465,2.974504762119267,15.0
efficient,3.0,7.5,150.0,0.0,394.38743827176495,276.46247067852056,1525.0,3630.2530946383936,0.23006122158075182,3.9842370282416146,15.0
efficient,3.0,7.5,150.0,0.01,394.38743827176495,276.46247067852056,1525.0,3258.0505450317855,0.23006122158075182,3.9842370282416146,15.0
efficient,3.0,7.5,150.0,0.02,394.38743827176495,276.46247067852056,1525.0,2924.008550902756,0.23006122158075182,3.9842370282416146,15.0
efficient,3.0,7.5,150.0,0.03,394.38743827176495,276.46247067852056,1525.0,2623.4872985359634,0.23006122158075182,3.9842370282416146,15.0
efficient,3.0,7.5,150.0,0.04,394.38743827176495,276.46247067852056,1525.0,2352.4779067090003,0.23006122158075182,3.9842370282416146,15.0
efficient,3.0,7.5,200.0,0.0,394.38743827176495,276.46247067852056,1900.0,3255.2530946383936,0.17369788605039502,5.0150870526250735,15.0
efficient,3.0,7.5,200.0,0.01,394.38743827176495,276.46247067852056,1900.0,2883.050545031786,0.17369788605039502,5.0150870526250735,15.0
efficient,3.0,7.5,200.0,0.02,394.38743827176495,276.46247067852056,1900.0,2549.008550902756,0.17369788605039502,5.0150870526250735,15.0
efficient,3.0,7.5,200.0,0.03,394.38743827176495,276.46247067852056,1900.0,2248.4872985359634,0.17369788605039502,5.0150870526250735,15.0
efficient,3.0,7.5,200.0,0.04,394.38743827176495,276.46247067852056,1900.0,1977.477906709,0.17369788605039502,5.0150870526250735,15.0
efficient,3.0,7.5,250.0,0.0,394.38743827176495,276.46247067852056,2275.0,2880.2530946383936,0.1339221231368059,6.0683624408628924,15.0
efficient,3.0,7.5,250.0,0.01,394.38743827176495,276.46247067852056,2275.0,2508.050545031786,0.1339221231368059,6.0683624408628924,15.0
efficient,3.0,7.5,250.0,0.02,394.38743827176495,276.46247067852056,2275.0,2174.0085509027554,0.1339221231368059,6.0683624408628924,15.0
efficient,3.0,7.5,250.0,0.03,394.38743827176495,276.46247067852056,2275.0,1873.4872985359634,0.1339221231368059,6.0683624408628924,15.0
efficient,3.0,7.5,250.0,0.04,394.38743827176495,276.46247067852056,2275.0,1602.4779067090005,0.1339221231368059,6.0683624408628924,15.0
efficient,3.0,7.5,300.0,0.0,394.38743827176495,276.46247067852056,2650.0,2505.2530946383936,0.10385834523800777,7.144630707482501,15.0
efficient,3.0,7.5,300.0,0.01,394.38743827176495,276.46247067852056,2650.0,2133.050545031786,0.10385834523800777,7.144630707482501,15.0
efficient,3.0,7.5,300.0,0.02,394.38743827176495,276.46247067852056,2650.0,1799.0085509027556,0.10385834523800777,7.144630707482501,15.0
